,text
241,"RT @ksnagarajan: If you are ok with giving tips to waiters in restaurant, do it for food delivery (swiggy/ubereats) guys too. They work har…"
242,@Paytm @vijayshekhar @Zomato I have coupon from Paytm but while applying while ordering on zomato it declined. Now… https://t.co/xXk25ogBnK
243,"@Zomato 
Not one of your delivery guys in Aurangabad wear helmets, they drive with impunity on the wrong side of the roads !"
244,"@zomatocare @iamSunnyBhatti @Zomato @ZomatoIN This is the reply from your support team.

I didn't know the restaura… https://t.co/eJttgixsLU"
245,"@zomatocare @anil49643010 @Zomato @ZomatoIN This is the reply from your support team.

I didn't know the restaurant… https://t.co/uMHhnmYYni"
246,"@zomatocare @Himanshuarora94 @Zomato @ZomatoIN This is the reply from your support team.

I didn't know the restaur… https://t.co/LKpXs6PpLJ"
247,@SwiggyCares Swiggy delivery person covered more than 8 kms to deliver food last nite &amp; yet was all smiles. Excellent service #swiggy
248,"@OmRajpurohit_ @Paytm @vijayshekhar @Zomato Hi there, kindly DM us your contact number so that we can reach out to… https://t.co/8vkPt3BiK7"
249,@Zomato what's the use of live tracking when no one is updating it. Received the order which was delayed by 40 minu… https://t.co/qYeQsqgOdY
250,"@ZomatoIN @zomatocare @zomato I ordered on zomato at around 6:30 PM, the estimated time of delivery was upto 7:06 P… https://t.co/YQKtMPKtpH"
251,"@sarcasticsharif @Zomato Hey Hussain, kindly share your order details and we shall get this checked ASAP!
-AM"
252,I talked on zomato support also they are using foul language and not providing me resolution. You are making fool o… https://t.co/0PkGmdpBNZ
253,.@Zomato .@swiggy_in could you please give a mobile phone stand thingies to your delivery boys? They drive with one… https://t.co/AB9Wy3mEqy
254,"@ChinmayAgarwa16 @ZomatoIN @Zomato Hi Chinmay, that is clearly a lot of time for a Sunday night dinner.

We are get… https://t.co/2UXcjkOcg9"
255,"@swiggy_in @SwiggyCares 
Dear Swiggy. You are in food delivery business. You can't say that we will get back to you… https://t.co/ZtkmQV8o5Q"
256,@zomatocare @ZomatoIN @Zomato Now I will not accept order because it's already 3 hours. Man you've imagined 45 mins… https://t.co/Ae1oKPQxrr
257,@SwiggyCares @swiggy_in Order Number19579946049. I ordered an hour back. Still no delivery executive assigned. Wast… https://t.co/ubQR5pUagh
258,Hello foodpanda my old friend.
259,"@jhaatlyf Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix this… https://t.co/l50BZsxmEw"
260,@zomatocare @Zomato Order number : 1231300999
261,@zomatocare @ZomatoIN @Zomato Waiting for your asap
262,"@zomatocare @ZomatoIN @Zomato @BurgerKing It's a pity you are so casual while spoiling customers' dinners with ""hey… https://t.co/XuTcuCvpkH"
263,"@zomatocare @ZomatoIN @Zomato @BurgerKing Mr. Singh, i's a pity you are so casual while spoiling customers' dinners… https://t.co/t3OGLUFPdw"
264,"@rehan_here Hi As per your chat conversation with one of our executives, we hope the issue has been resolved. Looki… https://t.co/5iXAMUQOrb"
265,"@monikuntal Hi, We're terribly sorry to hear about your experience! Please DM us your registered contact details so… https://t.co/pFTrbrmyOL"
266,"@prateekjain96 Hi Prateek, Apologies for delay in the refund! Please DM us your registered contact details so that… https://t.co/YgSLZiwULa"
267,"@The_realSPD @dominos_india No denying that point!
Where did u order from? My similar experience was when I ordered… https://t.co/lDoMT0xojT"
268,"“ Staff are the ones who enhance your dining experience “ odoner_me 👏🏻👌🏻👍🏻🇦🇪✖️
.
.
.
.
#baklava #odoner #lamer… https://t.co/c4TnSwQ6sl"
269,@DearPestle Foodpanda 24/7
270,#foodpanda #swiggy  its all about competition right!!
271,@SwiggyCares Just received an order from McD via Swiggy with items more than 300rs worth missing. Contacted restaur… https://t.co/5z4TGBGT4s
272,@swiggy_in Just received an order from Mcd via Swiggy with items more than 300rs worth missing. Contacted restauran… https://t.co/3SJCjRcQDG
273,"@SwiggyCares wrong order items delivered can u please check?

Your order #19581003859 was delivered earlier than ex… https://t.co/Ct0KtDArWC"
274,RT @vits26: Looted money and changed the policy.. what a smart move @ZomatoIN @Zomato @deepigoyal #zomatogold
275,Stop using @SwiggyCares as they don't have executives for delivery and after hours you have to track these guys and… https://t.co/wZMD8iGRYI
276,"RT @DoctorLFC: [Fastest food delivery companies in India]

Tied at 2nd position - 
• Swiggy
• Zomato
• Scootsy

1st - Medical interns deliv…"
277,"Swiggy launches POP, to focus on single-serve meals, quick ordering

https://t.co/ZLJnXSBegw"
278,"@zomatocare @Zomato This was from Tandoori Trumpets, Sector 7, Gurgaon"
279,"@SuneelPawar Hi, We sincerely apologize for the inconvenience caused! Request you to share your order details and w… https://t.co/Clht648ZtK"
280,"@vaibhavkanwal @ZomatoIN @vipulsatya Looks like Zomato shot themselves in the foot here, you don't take back offers… https://t.co/4349tf5FzA"
281,"@Zomato @ZomatoIN 2 hours since I placed my order still waiting
Thanks for making me consider swiggy"
282,Today after waiting for around one hour I was forced to cancel my order from swiggy as the delivery boy told me tha… https://t.co/AQJzFYqGOW
283,Today while I eagerly waited for my order from #foodpanda(order code:a580-mlki) pathetic behavior from delivery boy… https://t.co/QiQ3vNmW1f
284,@KMantoo23 @Zomato @ZomatoIN Hey there! We regret to hear about your weekend's dinner. Having this checked right away for you. *VS
285,@foodpandaIndia Highlighting tempting pictures of desserts on the app &amp; delivering ordinarily average items? Is thi… https://t.co/HLUYRm9ogk
286,@zomatocare @Zomato @ZomatoIN Its been 1 plus hour with your chat service &amp; I'm still hanging on
287,"RT @swiggy_in: When hunger tweets, we’ll help you handle it. Get the Swiggy app now!  https://t.co/CRMVC7HXBW"
288,@SwiggyCares @One_Fine_Tweet My issue got resolved last week swiggy. Thank you
289,@SwiggyCares wat did ur representative promise? last tym that the mistakes will not be repated and swiggy will make… https://t.co/UcV66X3YBE
290,"@SwiggyCares will suggest all of your there don't use swiggy to place order , use @ZomatoIN  if you want a good facility"
291,Request everyone to NOT subscribe to swiggy super. Most useless waste of money @SwiggyCares @LiveFromALounge
292,@Zomato  absolute nonsense...hopeless delivery system...waste of time...!!
293,@zomatocare @ZomatoIN Delivery person has gone somewhere else instead of coming to my place. On top of it he is not… https://t.co/oDaOp92VVE
294,"Have a look at this review of The Square, Vishal Gaon on @Zomato — https://t.co/Kcnsx3MCOI"
295,"@Swagato_M @Zomato Hi there, we are sad to hear that.

Kindly DM us your contact number so that we can reach out to… https://t.co/sfGaxZSEzV"
296,@zomatocare @Zomato 8748000060
297,"RT @DoctorLFC: [Fastest food delivery companies in India]

Tied at 2nd position - 
• Swiggy
• Zomato
• Scootsy

1st - Medical interns deliv…"
298,我喜歡一部 @YouTube 影片 https://t.co/129hVHiJCH 【6tan】intel x foodpanda 吃雞不須妥協
299,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
300,"My dinner today is the love child of @swiggy_in &amp; @Zomato . Ordered from Zomato, packed in Swiggy box and cello tap… https://t.co/UbB7QNVkl9"
301,@SwiggyCares @swiggy_in never pay swiggy online. Always keep them hanging with COD options. Once they recv payment… https://t.co/1Bo0rGQPtb
302,"@zomatocare @ZomatoIN @Zomato 
This is stavan shah from Ahmedabad Gujarat.
I had ordered some food from status fanc… https://t.co/fen2Mw6Lgh"
303,"I messaged in the customer service in zomato even that is not replying me, it has been already 40 minutes but I hav… https://t.co/Paxlxnmfeq"
304,"Here's my #review of #ButterflyHigh, Bandra Kurla Complex on ⁦⁦@Zomato⁩ @ZomatoIN⁩ ! 
https://t.co/CiwH0WPSqt… https://t.co/zZCCCsCQWn"
305,@foodpandaIndia hey ur promotion delivery is a waste of time ordered twice and both time order cancelled such a was… https://t.co/n4NwJWaZEC
306,"@stavan07 @ZomatoIN @Zomato Hi Stavan, apologies for a complete mess over here.

We are getting this checked and we… https://t.co/RiWfpSob4g"
307,"Here's my review of Burger King, Connaught Place on @Zomato! 
https://t.co/sIFbsRraKx"
308,"RT @DoctorLFC: [Fastest food delivery companies in India]

Tied at 2nd position - 
• Swiggy
• Zomato
• Scootsy

1st - Medical interns deliv…"
309,@swiggy worst order I want my money back
310,@Uber_India @Uber_Support @UberINSupport @Zomato @ZomatoIN @zomatocare @SwiggyCares @swiggy_in The food is still no… https://t.co/S9x3RFCBNL
311,"有望市場 RT@Koheei_Okubo: インド調達ランク②

6位Swiggy食品デリバリー$405M
https://t.co/emL5UEOpmw
7位Quikrクラシファイド$346M… https://t.co/ocAyxgEibi"
312,"@Gauravdhanawat Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix… https://t.co/OMAWPEu4dc"
313,RT @anuj0792: Today while I eagerly waited for my order from #foodpanda(order code:a580-mlki) pathetic behavior from delivery boy Ranjit Ka…
314,"@Zomato Very bad service in Ranchi. 1st order was misplaced by rider, 2nd repetitive  order was not expedited, casu… https://t.co/mozfZOxy7z"
315,@ZomatoIN @ZomatoGold Their are only 65 restaurants remaining in the complete nagpur city that SUPPORT zomato gold… https://t.co/kX2hyMtptX
316,swiggy gulab jamun wala ad bada sahee hai 😀
317,"Here's my review of Burger King, Connaught Place on @Zomato! 
https://t.co/sIFbsRraKx
#BurgerKing #zomato #worstexperience"
318,"■フードパンダ（foodpanda）
https://t.co/D16kZHUi6p

#バンコクの宅配サービス https://t.co/jxYVLcdFFQ"
319,@anuj0792 @mumbaitraffic Foodpanda is a big fraud...I have my own experience....swiggy far better
320,@zomatocare @Zomato @ZomatoIN I'm still waiting
321,"@AjayRanjan14 @Zomato Hi Ajay, we are here to sort this out for you.

Kindly share your order details and we shall… https://t.co/IBJbc9CpzS"
322,"RT @shivi1790: #McDonalds #MCD #Swiggy @mcdonaldsindia Order no. #19385265971
I was so grossed out today to see cockroach in my food.
It wa…"
323,Follow my food journey on @Zomato! — https://t.co/CrBm8NVuCC
324,@zomatocare @Zomato https://t.co/8ruJUTqxHA
325,"Bentar lg buka di aeon bsd, wajib cobain nih 🤤
Check out Zenbu on @Zomato!
https://t.co/Skl8U7bQhW"
326,"@bhash @foodpandaIndia @Olacabs Hi @bhash I ordered food from foodpanda after receiving your mail, the restaurant h… https://t.co/7s8pqlXvAo"
327,"I reviewed Spukies - The Veg Sigree, Goregaon East and rated it 5/5 on @Zomato #LoveFood — https://t.co/kFWEFFBypn"
328,They are like that only ma'am
329,"RT @swiggy_in: When hunger tweets, we’ll help you handle it. Get the Swiggy app now!  https://t.co/CRMVC7HXBW"
330,@zomatocare @Zomato First order was misplaced by zomato rider and second is getting delayed : 1471717277
331,"RT @m1hirk: In my opinion, one of the underrated facts of Info Edge's(https://t.co/hW9JPRgDvj) investee companies is their ability to gener…"
332,@foodpandaIndia Don’t start the promotions which u can’t handle or your restaurants #wasteoftime #foodpanda #foodservice
333,RT @anuj0792: Today while I eagerly waited for my order from #foodpanda(order code:a580-mlki) pathetic behavior from delivery boy Ranjit Ka…
334,"RT @d4ashah: I reviewed Spukies - The Veg Sigree, Goregaon East and rated it 5/5 on @Zomato #LoveFood — https://t.co/kFWEFFBypn"
335,"RT @DoctorLFC: [Fastest food delivery companies in India]

Tied at 2nd position - 
• Swiggy
• Zomato
• Scootsy

1st - Medical interns deliv…"
336,@foodpandaIndia  do you really cares about customer? I cannot even think of ordering from Foodpanda again in my lif… https://t.co/tCSEaKGCBa
337,"RT @JokinglyYours: wife: aaj khana bahar order kare
me: zomato try kar
wife: Zomato bahut sare animals hote hain
me: 😄✋🏻
wife: 😉✋🏻"
338,@Zomato எனக்காக ஒரு ஆபர் கொடுத்த பாத்தீயா.. https://t.co/n8kolYAe1t
339,This how zomato made you stupid.. well done @Zomato @zomatocare @ZomatoIN  ab yese to tum logo ko chodunga nhi.. https://t.co/3ilBJaIQjk
340,Worst service by swiggy.. Delay in delivery.. No customer support @SwiggyCares
341,"@swabtraj Hey Sumit, As this was a Swiggy order, I've notified Swiggy about the refund. I will not be able to confi… https://t.co/30dfSYbji9"
342,"@zomatocare @Zomato On chat with customer care for last 70 min , to get food delivery"
343,@zomatocare @Zomato But no help
344,"@Zomato @zomatocare  Please stop cheating customers, order id 1226651702"
345,@syahredzan @KPDNKK Dont think so actually the price before and during tax holiday was cheaper. I noticed yesterday… https://t.co/nvEYCCRYVg
346,@MeowMee_ Eesari zomato open chess order ivvu TL ki..next time TL kuda open cheskuntadu
347,"@Rohit72342080 @Zomato Hi Rohit, apologies for the hassle.

We are getting this checked and we'll reach out to you ASAP!
-AM"
348,Dim sum Sunday #Montreal #dimsum #montrealfood #food #foodie #foodporn #foodgasm #enroutemag #foodlover #foodpics… https://t.co/8v2r4Xcwve
349,RT @kandhari_ajay: Advertising done right @Zomato https://t.co/OwUqTQCUKE
350,"@swiggy_in Patan,jamnagar ma swiggy chalu nathi pacha ke che swiggy install karo pela service to provide karo city ma @swiggy_in"
351,RT @Seb_Blog: Dim sum Sunday #Montreal #dimsum #montrealfood #food #foodie #foodporn #foodgasm #enroutemag #foodlover #foodpics #foodblogge…
352,"@zomato @ZomatoIN same outlet, same menu, same items but different rates on direct order and online order. Please e… https://t.co/G4gcicEZeI"
353,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
354,#foodpanda promised 30 minutes... Ordered at 9.17 pm.. Now 10.13 order not delivered n no response from support tea… https://t.co/DjyDkuariL
355,@nvxion foodpanda got nearby teh tarik? hahaha
356,"@ZomatoIN I am really disappointed by the services provided by you, The restaurants provide bad quality food, charg… https://t.co/VGTFIuk8G6"
357,@VKumarEsq @sahej_AB @ZomatoGold @ZomatoIN @zomatocare https://t.co/YyIzRWZ2Lq
358,"@45Taparia SOS

@ImaginingIndia,@nayyardhiraj,@NITIAayog,@MilanV,@CarnegieEndow,@CarnegieSAsia,@SushilModi,… https://t.co/LpgO6A4B5u"
359,@ZomatoIN @Zomato Worst service ever
360,@Zomato Improve your customer service instead of these marketing
361,"@sasmitapradhan2 @ZomatoIN @Zomato Hey Aditi, we are sad to hear that.

Kindly DM us your contact number so that we… https://t.co/KZlxnatQZB"
362,"RT @swiggy_in: When hunger tweets, we’ll help you handle it. Get the Swiggy app now!  https://t.co/CRMVC7HXBW"
